Date,asset,ret,bin
2020-01-07,BBDC4_SA,-0.08508283867153299,-1.0
2020-01-08,BBDC4_SA,-0.05836119225844372,-1.0
2020-01-09,BBDC4_SA,-0.05560329993645019,-1.0
2020-01-10,BBDC4_SA,-0.04472846781579609,-1.0
2020-01-13,BBDC4_SA,-0.13284035095663083,-1.0
2020-01-15,BBDC4_SA,-0.13488644294030627,-1.0
2020-01-16,BBDC4_SA,-0.12883455091081064,-1.0
2020-01-17,BBDC4_SA,-0.16661139814854187,-1.0
2020-01-20,BBDC4_SA,-0.17431054530211543,-1.0
2020-01-21,BBDC4_SA,-0.20730919670530867,-1.0
2020-01-22,BBDC4_SA,-0.21013062827935047,-1.0
2020-01-23,BBDC4_SA,-0.23044228233731168,-1.0
2020-01-24,BBDC4_SA,-0.2246175842386139,-1.0
2020-01-27,BBDC4_SA,-0.20636480091482112,-1.0
2020-01-29,BBDC4_SA,-0.19582127808816507,-1.0
2020-01-30,BBDC4_SA,-0.20375469968660853,-1.0
2020-01-31,BBDC4_SA,-0.19019765647708697,-1.0
2020-02-03,BBDC4_SA,-0.19533544188552743,-1.0
2020-02-05,BBDC4_SA,-0.149836490765892,-1.0
2020-02-06,BBDC4_SA,-0.20182548786688392,-1.0
2020-02-07,BBDC4_SA,-0.1495849087193296,-1.0
2020-02-10,BBDC4_SA,-0.15856573184371392,-1.0
2020-02-11,BBDC4_SA,-0.14141628337351841,-1.0
2020-02-12,BBDC4_SA,-0.15459783541838046,-1.0
2020-02-13,BBDC4_SA,-0.13808591287608274,-1.0
2020-02-14,BBDC4_SA,-0.1817054908476199,-1.0
2020-02-17,BBDC4_SA,-0.17485683962197884,-1.0
2020-02-18,BBDC4_SA,-0.17161561428859362,-1.0
2020-02-19,BBDC4_SA,-0.1833297936817625,-1.0
2020-02-20,BBDC4_SA,-0.17135695382448968,-1.0
2020-02-21,BBDC4_SA,-0.16484495301053437,-1.0
2020-02-26,BBDC4_SA,-0.1692575427749532,-1.0
2020-02-27,BBDC4_SA,-0.16565388008277349,-1.0
2020-02-28,BBDC4_SA,-0.18095811981892695,-1.0
2020-03-02,BBDC4_SA,-0.19181143423668445,-1.0
2020-03-03,BBDC4_SA,-0.17031811550323783,-1.0
2020-03-04,BBDC4_SA,-0.1793097800600132,-1.0
2020-03-05,BBDC4_SA,-0.1514430489775993,-1.0
2020-03-06,BBDC4_SA,-0.24362157119995598,-1.0
2020-03-09,BBDC4_SA,-0.18493422334630527,-1.0
2020-03-10,BBDC4_SA,-0.20411911613591216,-1.0
2020-03-11,BBDC4_SA,-0.23009278805347966,-1.0
2020-03-12,BBDC4_SA,-0.1290423734514904,-1.0
2020-03-13,BBDC4_SA,-0.30130481702691236,-1.0
2020-03-16,BBDC4_SA,-0.09099425665846872,-1.0
2020-03-17,BBDC4_SA,-0.19476694743344913,-1.0
2020-03-18,BBDC4_SA,-0.040574137365717355,-1.0
2020-03-20,BBDC4_SA,0.01168192782595101,1.0
2020-03-23,BBDC4_SA,0.16269992351382756,1.0
2020-03-24,BBDC4_SA,0.016534242096885476,1.0
2020-03-25,BBDC4_SA,0.012909790583204517,1.0
2020-03-26,BBDC4_SA,-0.050956676525899525,-1.0
2020-03-27,BBDC4_SA,0.03244877867679041,1.0
2020-03-30,BBDC4_SA,-0.02129564244733939,-1.0
2020-03-31,BBDC4_SA,0.005613130856079174,1.0
2020-04-01,BBDC4_SA,0.09886481552114246,1.0
2020-04-03,BBDC4_SA,0.23875302279117694,1.0
2020-04-06,BBDC4_SA,0.14779530734926172,1.0
2020-04-07,BBDC4_SA,0.12644402606716754,1.0
2020-04-08,BBDC4_SA,0.15484756371069808,1.0
2020-04-13,BBDC4_SA,0.0498948790802245,1.0
2020-04-14,BBDC4_SA,0.02668079166774029,1.0
2020-04-15,BBDC4_SA,0.03376900809937533,1.0
2020-04-16,BBDC4_SA,0.10535878910982754,1.0
2020-04-17,BBDC4_SA,0.10141061187564793,1.0
2020-04-20,BBDC4_SA,0.13424154379976483,1.0
2020-04-23,BBDC4_SA,0.11747360399988693,1.0
2020-04-24,BBDC4_SA,0.21037267848391972,1.0
2020-04-27,BBDC4_SA,0.13789008649422496,1.0
2020-04-28,BBDC4_SA,0.07123978235826733,1.0
2020-04-29,BBDC4_SA,0.0044250695542700225,1.0
2020-04-30,BBDC4_SA,0.1202493310420345,1.0
2020-05-04,BBDC4_SA,0.1334073314187303,1.0
2020-05-06,BBDC4_SA,0.18579151185884202,1.0
2020-05-07,BBDC4_SA,0.2472100539486881,1.0
2020-05-08,BBDC4_SA,0.26629787409332284,1.0
2020-05-11,BBDC4_SA,0.23231343659997106,1.0
2020-05-12,BBDC4_SA,0.3153047014460637,1.0
2020-05-14,BBDC4_SA,0.2478389753001451,1.0
2020-05-15,BBDC4_SA,0.28584351559606924,1.0
2020-05-18,BBDC4_SA,0.24217013067437398,1.0
2020-05-19,BBDC4_SA,0.30103995310904774,1.0
2020-05-20,BBDC4_SA,0.2650866233325042,1.0
2020-05-21,BBDC4_SA,0.20448605786670337,1.0
2020-05-25,BBDC4_SA,0.15902100180082535,1.0
2020-05-26,BBDC4_SA,0.19065152161125343,1.0
2020-05-27,BBDC4_SA,0.15362308524148238,1.0
2020-05-28,BBDC4_SA,0.18754190241012547,1.0
2020-06-01,BBDC4_SA,0.19008522437234254,1.0
2020-06-02,BBDC4_SA,0.1747349472537354,1.0
2020-06-03,BBDC4_SA,0.0852720490706349,1.0
2020-06-04,BBDC4_SA,0.0255771562984608,1.0
2020-06-05,BBDC4_SA,-0.003590680078098485,-1.0
2020-06-08,BBDC4_SA,-0.07294073166867832,-1.0
2020-06-09,BBDC4_SA,-0.04757115142738744,-1.0
2020-06-10,BBDC4_SA,0.005874250163163008,1.0
2020-06-12,BBDC4_SA,0.011479646599916293,1.0
2020-06-15,BBDC4_SA,0.04343388189376074,1.0
2020-06-16,BBDC4_SA,-0.006431780859622704,-1.0
2020-06-17,BBDC4_SA,-0.030921492136520845,-1.0
2020-06-22,BBDC4_SA,-0.04327375389984134,-1.0
2020-06-24,BBDC4_SA,-0.003051025336594182,-1.0
2020-06-25,BBDC4_SA,-0.028744431292163974,-1.0
2020-06-26,BBDC4_SA,0.0022383074672738257,1.0
2020-06-29,BBDC4_SA,-0.00947587699084873,-1.0
2020-06-30,BBDC4_SA,0.0244985662718864,1.0
2020-07-01,BBDC4_SA,-0.018603662032236068,-1.0
2020-07-03,BBDC4_SA,0.006480575210365824,1.0
2020-07-06,BBDC4_SA,-0.08354301089600435,-1.0
2020-07-07,BBDC4_SA,-0.024500441558039543,-1.0
2020-07-08,BBDC4_SA,-0.0575929444016382,-1.0
2020-07-09,BBDC4_SA,0.001753914838622972,1.0
2020-07-10,BBDC4_SA,-0.01174133346404127,-1.0
2020-07-13,BBDC4_SA,-0.013755962744969819,-1.0
2020-07-14,BBDC4_SA,-0.03279018213984197,-1.0
2020-07-15,BBDC4_SA,-0.07988729332212718,-1.0
2020-07-16,BBDC4_SA,-0.08090197321363546,-1.0
2020-07-20,BBDC4_SA,-0.09301857916509226,-1.0
2020-07-21,BBDC4_SA,-0.11511031809302497,-1.0
2020-07-22,BBDC4_SA,-0.09741295366957181,-1.0
2020-07-23,BBDC4_SA,-0.10599028666902222,-1.0
2020-07-24,BBDC4_SA,-0.12479320563360574,-1.0
2020-07-27,BBDC4_SA,-0.1581546835204347,-1.0
2020-07-28,BBDC4_SA,-0.17244586279820417,-1.0
2020-07-29,BBDC4_SA,-0.18241043192592965,-1.0
2020-07-30,BBDC4_SA,-0.15358059007904767,-1.0
2020-07-31,BBDC4_SA,-0.11967101410335879,-1.0
2020-08-03,BBDC4_SA,-0.13136228419001728,-1.0
2020-08-04,BBDC4_SA,-0.10555096963729838,-1.0
2020-08-06,BBDC4_SA,-0.10437972595153144,-1.0
2020-08-07,BBDC4_SA,-0.08620505752005414,-1.0
2020-08-10,BBDC4_SA,-0.09726872746946147,-1.0
2020-08-11,BBDC4_SA,-0.09946066171713652,-1.0
2020-08-12,BBDC4_SA,-0.04440350522296499,-1.0
2020-08-13,BBDC4_SA,-0.0198661618597471,-1.0
2020-08-17,BBDC4_SA,0.014996958042484243,1.0
2020-08-18,BBDC4_SA,-0.002456541139025825,-1.0
2020-08-20,BBDC4_SA,-0.002483987815921962,-1.0
2020-08-24,BBDC4_SA,0.027901213519375245,1.0
2020-08-26,BBDC4_SA,0.09321565743479554,1.0
2020-08-27,BBDC4_SA,0.09044116342808683,1.0
2020-08-28,BBDC4_SA,0.038736826364463184,1.0
2020-08-31,BBDC4_SA,0.014431899507578727,1.0
2020-09-01,BBDC4_SA,-0.015646701720956835,-1.0
2020-09-03,BBDC4_SA,-0.04918853980602644,-1.0
2020-09-08,BBDC4_SA,-0.026845512322210774,-1.0
2020-09-10,BBDC4_SA,0.10231488668258115,1.0
2020-09-11,BBDC4_SA,0.1957982321958449,1.0
2020-09-14,BBDC4_SA,0.17709469939797184,1.0
2020-09-15,BBDC4_SA,0.1427756115672152,1.0
2020-09-17,BBDC4_SA,0.2303178874284333,1.0
2020-09-18,BBDC4_SA,0.2184280286714526,1.0
2020-09-21,BBDC4_SA,0.2369084205749512,1.0
2020-09-22,BBDC4_SA,0.22944931343422525,1.0
2020-09-23,BBDC4_SA,0.1828752050805562,1.0
2020-09-24,BBDC4_SA,0.23565899245276456,1.0
2020-09-28,BBDC4_SA,0.2406713756878165,1.0
2020-09-29,BBDC4_SA,0.18140926909681343,1.0
2020-09-30,BBDC4_SA,0.18095337508393494,1.0
2020-10-01,BBDC4_SA,0.17550327680099653,1.0
2020-10-02,BBDC4_SA,0.16908860096465128,1.0
2020-10-05,BBDC4_SA,0.22702047379748103,1.0
2020-10-06,BBDC4_SA,0.23134679238256473,1.0
2020-10-07,BBDC4_SA,0.16598802274894808,1.0
2020-10-08,BBDC4_SA,0.18364310344671386,1.0
2020-10-09,BBDC4_SA,0.17850694035236025,1.0
2020-10-13,BBDC4_SA,0.21203297019155154,1.0
2020-10-15,BBDC4_SA,0.17850694035236025,1.0
2020-10-16,BBDC4_SA,0.20227425665857868,1.0
2020-10-19,BBDC4_SA,0.18594067572310835,1.0
2020-10-20,BBDC4_SA,0.17595389328236943,1.0
2020-10-21,BBDC4_SA,0.18247633170663247,1.0
2020-10-22,BBDC4_SA,0.19210593024737443,1.0
2020-10-23,BBDC4_SA,0.19737589022064017,1.0
2020-10-26,BBDC4_SA,0.18842185919992227,1.0
2020-10-27,BBDC4_SA,0.2054921124421052,1.0
2020-10-28,BBDC4_SA,0.21062523889097728,1.0
2020-10-29,BBDC4_SA,0.2228543639405085,1.0
2020-10-30,BBDC4_SA,0.2541171223641445,1.0
2020-11-03,BBDC4_SA,0.22797616823596423,1.0
2020-11-04,BBDC4_SA,0.2214701323537558,1.0
2020-11-05,BBDC4_SA,0.21809540518288784,1.0
2020-11-09,BBDC4_SA,0.20132585156457017,1.0
2020-11-10,BBDC4_SA,0.12768661692637018,1.0
2020-11-12,BBDC4_SA,0.19669834816288478,1.0
2020-11-13,BBDC4_SA,0.12370033166609251,1.0
2020-11-16,BBDC4_SA,0.07972296539805601,1.0
2020-11-17,BBDC4_SA,0.056562612986196914,1.0
2020-11-18,BBDC4_SA,0.0673267239255606,1.0
2020-11-23,BBDC4_SA,0.03854920477040569,1.0
2020-11-24,BBDC4_SA,-0.029954742888545494,-1.0
2020-11-25,BBDC4_SA,-0.0031858393023512788,-1.0
2020-11-26,BBDC4_SA,0.04477803191888574,1.0
2020-11-27,BBDC4_SA,0.020666453093064252,1.0
2020-11-30,BBDC4_SA,0.05628183387751151,1.0
2020-12-01,BBDC4_SA,-0.003707270655924244,-1.0
2020-12-02,BBDC4_SA,-0.009724056173448181,-1.0
2020-12-03,BBDC4_SA,0.03364080112945245,1.0
2020-12-04,BBDC4_SA,0.01931115217935897,1.0
2020-12-07,BBDC4_SA,-0.008889744168682046,-1.0
2020-12-08,BBDC4_SA,0.008233176878994053,1.0
2020-12-10,BBDC4_SA,-0.04378039045958493,-1.0
2020-12-11,BBDC4_SA,-0.03622511843829712,-1.0
2020-12-14,BBDC4_SA,-0.031890849173876856,-1.0
2020-12-16,BBDC4_SA,-0.0706129581624153,-1.0
2020-12-17,BBDC4_SA,-0.1357237487216324,-1.0
2020-12-21,BBDC4_SA,-0.08024910160590137,-1.0
2020-12-22,BBDC4_SA,-0.11809905330516057,-1.0
2020-12-23,BBDC4_SA,-0.15580890492900812,-1.0
2020-12-28,BBDC4_SA,-0.191578024172253,-1.0
2020-12-30,BBDC4_SA,-0.14909537236149506,-1.0
2021-01-04,BBDC4_SA,-0.09245637028577725,-1.0
2021-01-05,BBDC4_SA,-0.043734453210591995,-1.0
2021-01-06,BBDC4_SA,-0.10730970315205024,-1.0
2021-01-07,BBDC4_SA,-0.1231949379900904,-1.0
2021-01-08,BBDC4_SA,-0.10067884149634054,-1.0
2021-01-11,BBDC4_SA,-0.0685234062753095,-1.0
2021-01-13,BBDC4_SA,-0.04674731580140845,-1.0
2021-01-14,BBDC4_SA,-0.09048225274259658,-1.0
2021-01-15,BBDC4_SA,-0.02564251806576545,-1.0
2021-01-18,BBDC4_SA,-0.010976532151330876,-1.0
2021-01-19,BBDC4_SA,0.015385199909067504,1.0
2021-01-20,BBDC4_SA,0.031560385487122034,1.0
2021-01-21,BBDC4_SA,0.035130312805188524,1.0
2021-01-22,BBDC4_SA,0.04375996585665343,1.0
2021-01-26,BBDC4_SA,0.09323490268053058,1.0
2021-01-27,BBDC4_SA,0.08506942346235857,1.0
2021-01-28,BBDC4_SA,0.05666257342349068,1.0
2021-01-29,BBDC4_SA,0.10863869746381893,1.0
2021-02-01,BBDC4_SA,0.062821359003852,1.0
2021-02-02,BBDC4_SA,0.02803017109004924,1.0
2021-02-03,BBDC4_SA,0.03263234923341907,1.0
2021-02-04,BBDC4_SA,-0.013343194821639703,-1.0
2021-02-05,BBDC4_SA,-0.01885412069258874,-1.0
2021-02-08,BBDC4_SA,-0.0007090978280547278,-1.0
2021-02-09,BBDC4_SA,-0.007388661223841075,-1.0
2021-02-10,BBDC4_SA,0.022373009007607525,1.0
2021-02-18,BBDC4_SA,0.04943937803233456,1.0
2021-02-19,BBDC4_SA,0.053576390315416944,1.0
2021-02-22,BBDC4_SA,0.11034216638291339,1.0
2021-02-23,BBDC4_SA,0.052540385296480974,1.0
2021-02-24,BBDC4_SA,0.07972432029813281,1.0
2021-02-25,BBDC4_SA,0.10456441765741387,1.0
2021-02-26,BBDC4_SA,0.11803642260285763,1.0
2021-03-01,BBDC4_SA,0.20336503204041967,1.0
2021-03-02,BBDC4_SA,0.1989485703428584,1.0
2021-03-03,BBDC4_SA,0.1405002232660948,1.0
2021-03-04,BBDC4_SA,0.13073558877175961,1.0
2021-03-05,BBDC4_SA,0.04710548520958713,1.0
2021-03-08,BBDC4_SA,0.08751947534593674,1.0
2021-03-09,BBDC4_SA,0.08401650136288907,1.0
2021-03-10,BBDC4_SA,0.07051534315766173,1.0
2021-03-11,BBDC4_SA,0.07760766586022294,1.0
2021-03-12,BBDC4_SA,0.08316739400922835,1.0
2021-03-15,BBDC4_SA,0.046512542036245774,1.0
2021-03-16,BBDC4_SA,0.08885608765326669,1.0
2021-03-17,BBDC4_SA,0.05503393005738988,1.0
2021-03-18,BBDC4_SA,0.040480602734772386,1.0
2021-03-19,BBDC4_SA,0.04645444447022151,1.0
2021-03-22,BBDC4_SA,0.059001958818113875,1.0
2021-03-23,BBDC4_SA,0.08072447316945519,1.0
2021-03-24,BBDC4_SA,0.09700736286179978,1.0
2021-03-25,BBDC4_SA,0.07020888342316778,1.0
2021-03-26,BBDC4_SA,0.057676712108509776,1.0
2021-03-29,BBDC4_SA,0.07750703483806487,1.0
2021-03-30,BBDC4_SA,0.06622728471241146,1.0
2021-03-31,BBDC4_SA,0.09219570277571476,1.0
2021-04-01,BBDC4_SA,0.13113553625158603,1.0
2021-04-05,BBDC4_SA,0.1461377845150813,1.0
2021-04-06,BBDC4_SA,0.21006372889546654,1.0
2021-04-07,BBDC4_SA,0.2234449852085123,1.0
2021-04-08,BBDC4_SA,0.22732293976049966,1.0
2021-04-12,BBDC4_SA,0.20676336035146914,1.0
2021-04-13,BBDC4_SA,0.21480883373242765,1.0
2021-04-14,BBDC4_SA,0.20068332205507922,1.0
2021-04-16,BBDC4_SA,0.18688184886399073,1.0
2021-04-19,BBDC4_SA,0.192272511133724,1.0
2021-04-20,BBDC4_SA,0.210725496947769,1.0
2021-04-22,BBDC4_SA,0.17320098773904058,1.0
2021-04-23,BBDC4_SA,0.1968325331571168,1.0
2021-04-27,BBDC4_SA,0.16113727095782782,1.0
2021-04-28,BBDC4_SA,0.10940093621735847,1.0
2021-04-29,BBDC4_SA,0.18474890305370684,1.0
2021-04-30,BBDC4_SA,0.18077474190693965,1.0
2021-05-03,BBDC4_SA,0.064271327074511,1.0
2021-05-04,BBDC4_SA,0.18234146999821466,1.0
2021-05-06,BBDC4_SA,0.17444554239454457,1.0
2021-05-07,BBDC4_SA,0.1695646002804485,1.0
2021-05-10,BBDC4_SA,0.025139468319593794,1.0
2021-05-12,BBDC4_SA,0.16762325614436446,1.0
2021-05-13,BBDC4_SA,0.045458094560183016,1.0
2021-05-14,BBDC4_SA,0.034975604306330954,1.0
2021-05-17,BBDC4_SA,0.03492088326789089,1.0
2021-05-18,BBDC4_SA,0.003323761497764144,1.0
2021-05-19,BBDC4_SA,-0.003346301539383978,-1.0
2021-05-20,BBDC4_SA,-0.04867010779073866,-1.0
2021-05-21,BBDC4_SA,-0.03848059644927426,-1.0
2021-05-24,BBDC4_SA,-0.03548243930370443,-1.0
2021-05-25,BBDC4_SA,-0.03816073458037428,-1.0
2021-05-26,BBDC4_SA,-0.06943519932365394,-1.0
2021-05-27,BBDC4_SA,-0.06733436413080895,-1.0
2021-05-28,BBDC4_SA,-0.06212099780526659,-1.0
2021-05-31,BBDC4_SA,-0.037983675076538104,-1.0
2021-06-01,BBDC4_SA,-0.06836195811338275,-1.0
2021-06-02,BBDC4_SA,-0.11871006389776362,-1.0
2021-06-07,BBDC4_SA,-0.11823826513570379,-1.0
2021-06-08,BBDC4_SA,-0.1471232775746607,-1.0
2021-06-09,BBDC4_SA,-0.14287378449700827,-1.0
2021-06-11,BBDC4_SA,-0.1410398469984363,-1.0
2021-06-14,BBDC4_SA,-0.13734823359941173,-1.0
2021-06-16,BBDC4_SA,-0.14226346596242223,-1.0
2021-06-17,BBDC4_SA,-0.1385822920679164,-1.0
2021-06-18,BBDC4_SA,-0.1403154018457815,-1.0
2021-06-21,BBDC4_SA,-0.12955408440075522,-1.0
2021-06-22,BBDC4_SA,-0.12940047507525754,-1.0
2021-06-23,BBDC4_SA,-0.1319671715711015,-1.0
2021-06-24,BBDC4_SA,-0.12895385357279665,-1.0
2021-06-25,BBDC4_SA,-0.11717485921710935,-1.0
2021-06-28,BBDC4_SA,-0.0894364069101532,-1.0
2021-06-29,BBDC4_SA,-0.08228747821847571,-1.0
2021-06-30,BBDC4_SA,-0.08697782160112844,-1.0
2021-07-01,BBDC4_SA,-0.06340562735375466,-1.0
2021-07-02,BBDC4_SA,-0.09516797765344165,-1.0
2021-07-05,BBDC4_SA,-0.07364997205906076,-1.0
2021-07-06,BBDC4_SA,-0.06364420428833972,-1.0
2021-07-07,BBDC4_SA,-0.10306862051589283,-1.0
2021-07-08,BBDC4_SA,-0.09697091546722636,-1.0
2021-07-12,BBDC4_SA,-0.11004152900483632,-1.0
2021-07-14,BBDC4_SA,-0.1642767754078306,-1.0
2021-07-15,BBDC4_SA,-0.1515333975307973,-1.0
2021-07-19,BBDC4_SA,-0.11437000478522164,-1.0
2021-07-20,BBDC4_SA,-0.1327402653566746,-1.0
2021-07-22,BBDC4_SA,-0.12628989981000827,-1.0
2021-07-23,BBDC4_SA,-0.13138901136336523,-1.0
2021-07-26,BBDC4_SA,-0.12448077286703219,-1.0
2021-07-27,BBDC4_SA,-0.13131535929826088,-1.0
2021-07-28,BBDC4_SA,-0.1511924740418119,-1.0
2021-07-29,BBDC4_SA,-0.1429351343262698,-1.0
2021-07-30,BBDC4_SA,-0.1280910866151268,-1.0
